,dc,drift_value_adwin,host,id,parameter_id,station_id,topic,unix_timestamp
2021-12-06 18:07:12.874084+00:00,localhost,14.0,b104e5145a87,5642340997.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492277908.0
2021-12-06 18:15:40.017537+00:00,localhost,14.0,b104e5145a87,5642340997.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492277908.0
2021-12-06 18:20:37.056382+00:00,localhost,18.0,b104e5145a87,5643643948.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306192.0
2021-12-06 18:20:43.785008+00:00,localhost,18.0,b104e5145a87,5643672291.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492306824.0
2021-12-06 18:22:25.047481+00:00,localhost,18.0,b104e5145a87,5644077248.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492316411.0
2021-12-06 18:23:05.666892+00:00,localhost,22.0,b104e5145a87,5644254281.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492320528.0
2021-12-06 18:24:13.226881+00:00,localhost,18.0,b104e5145a87,5644550142.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492327447.0
2021-12-06 18:25:07.362031+00:00,localhost,24.0,b104e5145a87,5644786571.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492332407.0
2021-12-06 18:28:22.809440+00:00,localhost,20.0,b104e5145a87,5645710802.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492351510.0
2021-12-06 18:28:36.164339+00:00,localhost,20.0,b104e5145a87,5645780507.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492352960.0
2021-12-06 18:28:49.604045+00:00,localhost,20.0,b104e5145a87,5645854689.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492354522.0
2021-12-06 18:29:23.490651+00:00,localhost,16.0,b104e5145a87,5646073798.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492359173.0
2021-12-06 18:31:51.788670+00:00,localhost,20.0,b104e5145a87,5646813618.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492374820.0
2021-12-06 18:35:28.532120+00:00,localhost,20.0,b104e5145a87,5647670752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492394450.0
2021-12-06 18:36:15.782094+00:00,localhost,20.0,b104e5145a87,5647858936.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492398915.0
2021-12-06 18:36:49.692053+00:00,localhost,22.0,b104e5145a87,5648005752.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492402424.0
2021-12-06 18:37:43.902608+00:00,localhost,22.0,b104e5145a87,5648234259.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492407851.0
2021-12-06 18:39:05.103079+00:00,localhost,20.0,b104e5145a87,5648594034.0,112.0,1160629000.0,sensor/1160629000_112_adwin,1492415906.0
