dc,drift_value_hddm_a,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,21.0,b104e5145a87,5641181495.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254003.0,2017-04-15 11:00:03
localhost,24.0,b104e5145a87,5641181680.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254065.0,2017-04-15 11:01:05
localhost,18.0,b104e5145a87,5641186477.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254306.0,2017-04-15 11:05:06
localhost,22.0,b104e5145a87,5641188644.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254356.0,2017-04-15 11:05:56
localhost,18.0,b104e5145a87,5641202675.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254646.0,2017-04-15 11:10:46
localhost,22.0,b104e5145a87,5641205063.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254695.0,2017-04-15 11:11:35
localhost,19.0,b104e5145a87,5641219055.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492254984.0,2017-04-15 11:16:24
localhost,23.0,b104e5145a87,5641221562.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492255041.0,2017-04-15 11:17:21
localhost,18.0,b104e5145a87,5641235869.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492255334.0,2017-04-15 11:22:14
localhost,22.0,b104e5145a87,5641238409.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492255382.0,2017-04-15 11:23:02
localhost,18.0,b104e5145a87,5641252364.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492255672.0,2017-04-15 11:27:52
localhost,22.0,b104e5145a87,5641254469.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492255721.0,2017-04-15 11:28:41
localhost,18.0,b104e5145a87,5641268968.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256020.0,2017-04-15 11:33:40
localhost,22.0,b104e5145a87,5641271057.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256069.0,2017-04-15 11:34:29
localhost,18.0,b104e5145a87,5641285210.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256379.0,2017-04-15 11:39:39
localhost,22.0,b104e5145a87,5641287702.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256430.0,2017-04-15 11:40:30
localhost,18.0,b104e5145a87,5641301402.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256740.0,2017-04-15 11:45:40
localhost,22.0,b104e5145a87,5641303368.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492256789.0,2017-04-15 11:46:29
localhost,18.0,b104e5145a87,5641317606.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257093.0,2017-04-15 11:51:33
localhost,22.0,b104e5145a87,5641319780.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257142.0,2017-04-15 11:52:22
localhost,18.0,b104e5145a87,5641332667.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257449.0,2017-04-15 11:57:29
localhost,22.0,b104e5145a87,5641335086.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257498.0,2017-04-15 11:58:18
localhost,18.0,b104e5145a87,5641368812.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257836.0,2017-04-15 12:03:56
localhost,22.0,b104e5145a87,5641368919.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492257883.0,2017-04-15 12:04:43
localhost,18.0,b104e5145a87,5641371816.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492258219.0,2017-04-15 12:10:19
localhost,22.0,b104e5145a87,5641373955.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492258266.0,2017-04-15 12:11:06
localhost,18.0,b104e5145a87,5641389247.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492258599.0,2017-04-15 12:16:39
localhost,22.0,b104e5145a87,5641391530.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492258647.0,2017-04-15 12:17:27
localhost,18.0,b104e5145a87,5641406931.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492258987.0,2017-04-15 12:23:07
localhost,22.0,b104e5145a87,5641408896.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492259034.0,2017-04-15 12:23:54
localhost,18.0,b104e5145a87,5641425074.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492259398.0,2017-04-15 12:29:58
localhost,22.0,b104e5145a87,5641427301.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492259446.0,2017-04-15 12:30:46
localhost,18.0,b104e5145a87,5641442857.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492259778.0,2017-04-15 12:36:18
localhost,22.0,b104e5145a87,5641445196.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492259825.0,2017-04-15 12:37:05
localhost,18.0,b104e5145a87,5641460209.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492260159.0,2017-04-15 12:42:39
localhost,22.0,b104e5145a87,5641462212.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492260206.0,2017-04-15 12:43:26
localhost,17.0,b104e5145a87,5641481781.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492260589.0,2017-04-15 12:49:49
localhost,21.0,b104e5145a87,5641483606.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492260629.0,2017-04-15 12:50:29
localhost,17.0,b104e5145a87,5641500212.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492260990.0,2017-04-15 12:56:30
localhost,21.0,b104e5145a87,5641502311.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492261033.0,2017-04-15 12:57:13
localhost,17.0,b104e5145a87,5641520231.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492261414.0,2017-04-15 13:03:34
localhost,21.0,b104e5145a87,5641521937.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492261457.0,2017-04-15 13:04:17
localhost,17.0,b104e5145a87,5641551110.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492261851.0,2017-04-15 13:10:51
localhost,21.0,b104e5145a87,5641551293.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492261893.0,2017-04-15 13:11:33
localhost,17.0,b104e5145a87,5641562893.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492262307.0,2017-04-15 13:18:27
localhost,21.0,b104e5145a87,5641564760.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492262348.0,2017-04-15 13:19:08
localhost,17.0,b104e5145a87,5641585071.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492262740.0,2017-04-15 13:25:40
localhost,21.0,b104e5145a87,5641587097.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492262781.0,2017-04-15 13:26:21
localhost,17.0,b104e5145a87,5641606330.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492263206.0,2017-04-15 13:33:26
localhost,21.0,b104e5145a87,5641608590.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492263249.0,2017-04-15 13:34:09
localhost,17.0,b104e5145a87,5641627836.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492263629.0,2017-04-15 13:40:29
localhost,21.0,b104e5145a87,5641629944.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492263672.0,2017-04-15 13:41:12
localhost,17.0,b104e5145a87,5641650900.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492264112.0,2017-04-15 13:48:32
localhost,21.0,b104e5145a87,5641653464.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492264154.0,2017-04-15 13:49:14
localhost,17.0,b104e5145a87,5641672565.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492264561.0,2017-04-15 13:56:01
localhost,21.0,b104e5145a87,5641675361.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492264604.0,2017-04-15 13:56:44
localhost,17.0,b104e5145a87,5641696250.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492265035.0,2017-04-15 14:03:55
localhost,21.0,b104e5145a87,5641698426.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492265078.0,2017-04-15 14:04:38
localhost,17.0,b104e5145a87,5641720520.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492265516.0,2017-04-15 14:11:56
localhost,21.0,b104e5145a87,5641722504.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492265558.0,2017-04-15 14:12:38
localhost,17.0,b104e5145a87,5641743086.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492265980.0,2017-04-15 14:19:40
localhost,21.0,b104e5145a87,5641744500.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492266023.0,2017-04-15 14:20:23
localhost,17.0,b104e5145a87,5641766339.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492266474.0,2017-04-15 14:27:54
localhost,21.0,b104e5145a87,5641768576.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492266516.0,2017-04-15 14:28:36
localhost,17.0,b104e5145a87,5641791080.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492266978.0,2017-04-15 14:36:18
localhost,21.0,b104e5145a87,5641793100.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492267022.0,2017-04-15 14:37:02
localhost,17.0,b104e5145a87,5641821190.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492267587.0,2017-04-15 14:46:27
localhost,21.0,b104e5145a87,5641823429.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492267633.0,2017-04-15 14:47:13
localhost,17.0,b104e5145a87,5641852664.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492268178.0,2017-04-15 14:56:18
localhost,21.0,b104e5145a87,5641854777.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492268225.0,2017-04-15 14:57:05
localhost,17.0,b104e5145a87,5641874050.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492268603.0,2017-04-15 15:03:23
localhost,21.0,b104e5145a87,5641876366.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492268646.0,2017-04-15 15:04:06
localhost,17.0,b104e5145a87,5641901218.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492269125.0,2017-04-15 15:12:05
localhost,21.0,b104e5145a87,5641903585.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492269170.0,2017-04-15 15:12:50
localhost,17.0,b104e5145a87,5641938158.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492269579.0,2017-04-15 15:19:39
localhost,21.0,b104e5145a87,5641938247.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492269622.0,2017-04-15 15:20:22
localhost,16.0,b104e5145a87,5641960946.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492270349.0,2017-04-15 15:32:29
localhost,20.0,b104e5145a87,5641962906.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492270391.0,2017-04-15 15:33:11
localhost,17.0,b104e5145a87,5641985222.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492270832.0,2017-04-15 15:40:32
localhost,21.0,b104e5145a87,5641987168.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492270879.0,2017-04-15 15:41:19
localhost,17.0,b104e5145a87,5642025164.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492271633.0,2017-04-15 15:53:53
localhost,21.0,b104e5145a87,5642027329.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492271681.0,2017-04-15 15:54:41
localhost,17.0,b104e5145a87,5642048610.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492272123.0,2017-04-15 16:02:03
localhost,21.0,b104e5145a87,5642050796.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492272170.0,2017-04-15 16:02:50
localhost,17.0,b104e5145a87,5642072000.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492272601.0,2017-04-15 16:10:01
localhost,21.0,b104e5145a87,5642074454.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492272646.0,2017-04-15 16:10:46
localhost,17.0,b104e5145a87,5642110820.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492273364.0,2017-04-15 16:22:44
localhost,21.0,b104e5145a87,5642113197.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492273413.0,2017-04-15 16:23:33
localhost,17.0,b104e5145a87,5642134941.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492273825.0,2017-04-15 16:30:25
localhost,21.0,b104e5145a87,5642136230.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492273870.0,2017-04-15 16:31:10
localhost,17.0,b104e5145a87,5642172297.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492274559.0,2017-04-15 16:42:39
localhost,21.0,b104e5145a87,5642174591.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492274610.0,2017-04-15 16:43:30
localhost,17.0,b104e5145a87,5642208091.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492275272.0,2017-04-15 16:54:32
localhost,21.0,b104e5145a87,5642210729.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492275324.0,2017-04-15 16:55:24
localhost,17.0,b104e5145a87,5642228292.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492275649.0,2017-04-15 17:00:49
localhost,21.0,b104e5145a87,5642230994.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492275699.0,2017-04-15 17:01:39
localhost,17.0,b104e5145a87,5642254781.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492276153.0,2017-04-15 17:09:13
localhost,21.0,b104e5145a87,5642256920.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492276200.0,2017-04-15 17:10:00
localhost,17.0,b104e5145a87,5642280367.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492276672.0,2017-04-15 17:17:52
localhost,21.0,b104e5145a87,5642283039.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492276721.0,2017-04-15 17:18:41
localhost,17.0,b104e5145a87,5642300877.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492277089.0,2017-04-15 17:24:49
localhost,21.0,b104e5145a87,5642303349.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492277137.0,2017-04-15 17:25:37
localhost,17.0,b104e5145a87,5642331403.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492277615.0,2017-04-15 17:33:35
localhost,21.0,b104e5145a87,5642331568.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492277663.0,2017-04-15 17:34:23
localhost,17.0,b104e5145a87,5642348116.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492278059.0,2017-04-15 17:40:59
localhost,21.0,b104e5145a87,5642350647.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492278107.0,2017-04-15 17:41:47
localhost,17.0,b104e5145a87,5642375693.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492278645.0,2017-04-15 17:50:45
localhost,21.0,b104e5145a87,5642379068.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492278698.0,2017-04-15 17:51:38
localhost,17.0,b104e5145a87,5642394274.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279016.0,2017-04-15 17:56:56
localhost,21.0,b104e5145a87,5642396457.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279064.0,2017-04-15 17:57:44
localhost,17.0,b104e5145a87,5642415096.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279449.0,2017-04-15 18:04:09
localhost,21.0,b104e5145a87,5642417523.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279495.0,2017-04-15 18:04:55
localhost,17.0,b104e5145a87,5642438052.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279911.0,2017-04-15 18:11:51
localhost,21.0,b104e5145a87,5642440392.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492279957.0,2017-04-15 18:12:37
localhost,17.0,b104e5145a87,5642457320.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492280317.0,2017-04-15 18:18:37
localhost,21.0,b104e5145a87,5642459656.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492280365.0,2017-04-15 18:19:25
localhost,17.0,b104e5145a87,5642480080.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492280790.0,2017-04-15 18:26:30
localhost,21.0,b104e5145a87,5642482424.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492280837.0,2017-04-15 18:27:17
localhost,17.0,b104e5145a87,5642502758.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492281216.0,2017-04-15 18:33:36
localhost,21.0,b104e5145a87,5642505096.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492281265.0,2017-04-15 18:34:25
localhost,17.0,b104e5145a87,5642522380.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492281627.0,2017-04-15 18:40:27
localhost,21.0,b104e5145a87,5642524453.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492281674.0,2017-04-15 18:41:14
localhost,17.0,b104e5145a87,5642543584.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282061.0,2017-04-15 18:47:41
localhost,21.0,b104e5145a87,5642545849.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282109.0,2017-04-15 18:48:29
localhost,17.0,b104e5145a87,5642562189.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282456.0,2017-04-15 18:54:16
localhost,21.0,b104e5145a87,5642564298.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282504.0,2017-04-15 18:55:04
localhost,17.0,b104e5145a87,5642581158.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282840.0,2017-04-15 19:00:40
localhost,21.0,b104e5145a87,5642583681.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492282887.0,2017-04-15 19:01:27
localhost,17.0,b104e5145a87,5642602021.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492283254.0,2017-04-15 19:07:34
localhost,21.0,b104e5145a87,5642604842.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492283302.0,2017-04-15 19:08:22
localhost,17.0,b104e5145a87,5642622871.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492283650.0,2017-04-15 19:14:10
localhost,21.0,b104e5145a87,5642624945.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492283697.0,2017-04-15 19:14:57
localhost,17.0,b104e5145a87,5642641451.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284046.0,2017-04-15 19:20:46
localhost,21.0,b104e5145a87,5642643748.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284092.0,2017-04-15 19:21:32
localhost,17.0,b104e5145a87,5642661359.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284468.0,2017-04-15 19:27:48
localhost,21.0,b104e5145a87,5642663555.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284514.0,2017-04-15 19:28:34
localhost,17.0,b104e5145a87,5642679187.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284855.0,2017-04-15 19:34:15
localhost,21.0,b104e5145a87,5642681380.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492284901.0,2017-04-15 19:35:01
localhost,17.0,b104e5145a87,5642708489.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492285242.0,2017-04-15 19:40:42
localhost,21.0,b104e5145a87,5642709326.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492285290.0,2017-04-15 19:41:30
localhost,17.0,b104e5145a87,5642715841.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492285659.0,2017-04-15 19:47:39
localhost,21.0,b104e5145a87,5642717782.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492285706.0,2017-04-15 19:48:26
localhost,17.0,b104e5145a87,5642734335.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492286033.0,2017-04-15 19:53:53
